MeetingDate,MinuteNotesReleaseDate,PressConference,IsNew
19930203,19930326,0,Yes
19930323,19930521,0,Yes
19930518,19930709,0,Yes
19930707,19930820,0,Yes
19930817,19930924,0,Yes
19930921,19931119,0,Yes
19931116,19931223,0,Yes
19931221,19940204,0,Yes
19940204,19940325,0,Yes
19940322,19940520,0,Yes
19940517,19940708,0,Yes
19940706,19940819,0,Yes
19940816,19940930,0,Yes
19940927,19941118,0,Yes
19941115,19941222,0,Yes
19941220,19950203,0,Yes
19950201,19950331,0,Yes
19950328,19950526,0,Yes
19950523,19950707,0,Yes
19950706,19950825,0,Yes
19950822,19950929,0,Yes
19950926,19951117,0,Yes
19951115,19951222,0,Yes
19951219,19960202,0,Yes
19960131,19960329,0,Yes
19960326,19960524,0,Yes
19960521,19960705,0,Yes
19960702,19960823,0,Yes
19960820,19960927,0,Yes
19960924,19961115,0,Yes
19961113,19961220,0,Yes
19961217,19970206,0,Yes
19970204,19970327,0,Yes
19970325,19970522,0,Yes
19970520,19970703,0,Yes
19970701,19970821,0,Yes
19970819,19971002,0,Yes
19970930,19971113,0,Yes
19971112,19971218,0,Yes
19971216,19980205,0,Yes
19980203,19980402,0,Yes
19980331,19980521,0,Yes
19980519,19980702,0,Yes
19980630,19980820,0,Yes
19980818,19981001,0,Yes
19980929,19981119,0,Yes
19981117,19981223,0,Yes
19981222,19990204,0,Yes
19990202,19990401,0,Yes
19990330,19990520,0,Yes
19990518,19990701,0,Yes
19990630,19990826,0,Yes
19990824,19991007,0,Yes
19991005,19991118,0,Yes
19991116,19991223,0,Yes
19991221,20000203,0,Yes
20000202,20000323,0,Yes
20000321,20000518,0,Yes
20000516,20000629,0,Yes
20000628,20000824,0,Yes
20000822,20001005,0,Yes
20001003,20001116,0,Yes
20001115,20001221,0,Yes
20001219,20010201,0,Yes
20010131,20010322,0,Yes
20010320,20010517,0,Yes
20010515,20010628,0,Yes
20010627,20010823,0,Yes
20010821,20011004,0,Yes
20011002,20011108,0,Yes
20011106,20011213,0,Yes
20011211,20020131,0,Yes
20020130,20020321,0,Yes
20020319,20020509,0,Yes
20020507,20020627,0,Yes
20020626,20020815,0,Yes
20020813,20020926,0,Yes
20020924,20021107,0,Yes
20021106,20021212,0,Yes
20021210,20030130,0,Yes
20030129,20030320,0,Yes
20030318,20030508,0,Yes
20030506,20030626,0,Yes
20030625,20030814,0,Yes
20030812,20030918,0,Yes
20030916,20031030,0,Yes
20031028,20031211,0,Yes
20031209,20040129,0,Yes
20040128,20040318,0,Yes
20040316,20040506,0,Yes
20040504,20040701,0,Yes
20040630,20040812,0,Yes
20040810,20040923,0,Yes
20040921,20041111,0,Yes
20041110,20041216,0,Yes
20041214,20050104,0,Yes
20050202,20050223,0,Yes
20050322,20050412,0,Yes
20050503,20050524,0,Yes
20050630,20050721,0,Yes
20050809,20050830,0,Yes
20050920,20051011,0,Yes
20051101,20051122,0,Yes
20051213,20060103,0,Yes
20060131,20060221,0,Yes
20060328,20060418,0,Yes
20060510,20060531,0,Yes
20060629,20060720,0,Yes
20060808,20060829,0,Yes
20060920,20061011,0,Yes
20061025,20061115,0,Yes
20061212,20070103,0,Yes
20070131,20070221,0,Yes
20070321,20070411,0,Yes
20070509,20070530,0,Yes
20070628,20070719,0,Yes
20070807,20070828,0,Yes
20070918,20071009,0,Yes
20071031,20071120,0,Yes
20071211,20080102,0,Yes
20080130,20080220,0,Yes
20080318,20080408,0,Yes
20080430,20080521,0,Yes
20080625,20080716,0,Yes
20080805,20080826,0,Yes
20080916,20081007,0,Yes
20081029,20081119,0,Yes
20081216,20090106,0,Yes
20090128,20090218,0,Yes
20090318,20090408,0,Yes
20090429,20090520,0,Yes
20090624,20090715,0,Yes
20090812,20090902,0,Yes
20090923,20091014,0,Yes
20091104,20091124,0,Yes
20091216,20100106,0,Yes
20100127,20100217,0,No
20100316,20100406,0,No
20100428,20100519,0,No
20100623,20100714,0,No
20100810,20100831,0,No
20100921,20101012,0,No
20101103,20101123,0,No
20101214,20110104,0,No
20110126,20110216,0,No
20110315,20110405,0,No
20110427,20110518,1,No
20110622,20110712,1,No
20110809,20110830,0,No
20110921,20111012,0,No
20111102,20111122,1,No
20111213,20120103,0,No
20120125,20120215,1,No
20120313,20120403,0,No
20120425,20120516,1,No
20120620,20120711,1,No
20120801,20120822,0,No
20120913,20121004,1,No
20121024,20121114,0,No
20121212,20130103,1,No
20130130,20130220,0,No
20130320,20130410,1,No
20130501,20130522,0,No
20130619,20130710,1,No
20130731,20130821,0,No
20130918,20131009,1,No
20131030,20131120,0,No
20131218,20140108,1,No
20140129,20140219,0,No
20140319,20140409,1,No
20140430,20140521,0,No
20140618,20140709,1,No
20140730,20140820,0,No
20140917,20141008,1,No
20141029,20141119,0,No
20141217,20150107,1,No
20150128,20150218,0,No
20150318,20150408,1,No
20150429,20150520,0,No
20150617,20150708,1,No
20150729,20150819,0,No
20150917,20151008,1,No
20151028,20151118,0,No
20151216,20160106,1,No
20160127,20160217,0,No
20160316,20160406,1,No
20160427,20160518,0,No
20160615,20160706,1,No
