,FOMC_date,document_type,document_data_512,document_data_wo_stopwords_512,press_conference,release_date,label_market,label_FED
0,2006-01-31,minutes,account messrs oliner and slifman associate directors division of research and statistics board of governors mr whitesell deputy associate director division of monetary affairs board of governors messrs english and sheets assistant directors division of monetary affairs and international finance respectively board of governors mr simpson senior adviser division of research and statistics board of governors mr small project manager division of monetary affairs board of governors mr chaboud and mses kusko and weinbach senior economists divisions of international finance research and statistics and monetary affairs respectively board of governors ms roush economist division of monetary affairs board of governors mr luecke senior financial analyst division of monetary affairs board of governors ms low open market secretariat specialist division of monetary affairs board of governors mr stone first vice president federal reserve bank of philadelphia messrs fuhrer and rosenblum executive vice presidents federal reserve banks of boston and dallas respectively messrs evans and hakkio mses mester and perelmuter and messrs rasche rolnick and steindel senior vice presidents federal reserve banks of chicago kansas city philadelphia new york st louis minneapolis and new york respectively mr hetzel senior economist federal reserve bank of richmond in the agenda for this meeting it was reported that advices of the election of the following members and alternate members of the FOMC for a term beginning january 31 2006 had been received and that these individuals had executed their oaths of office the elected members and alternate members were as follows timothy f geithner president of the federal reserve bank of new york with christine m cumming first vice president federal reserve bank of new york as alternate jeffrey m lacker president of the federal reserve bank of richmond with cathy e minehan president of the federal reserve bank of boston as alternate sandra pianalto president of the federal reserve bank of cleveland with michael h moskow president of the federal reserve bank of chicago as alternate jack guynn president of the federal reserve bank of atlanta with william poole president of the federal reserve bank of st louis as alternate janet l yellen president of the federal reserve bank of san francisco with thomas m hoenig president of the federal reserve bank of kansas city as alternate by unanimous vote the following officers of the FOMC were selected to serve until the selection of their successors at the first regularly scheduled meeting of the,messrs moskow poole hoenig alternate members FOMC messrs fisher stern santomero presidents federal reserve banks dallas minneapolis philadelphia respectively mr reinhart secretary economist ms danker deputy secretary ms smith assistant secretary mr skidmore assistant secretary mr alvarez general counsel mr baxter deputy general counsel ms johnson economist mr stockton economist messrs connors eisenbeis judd kamin madigan sniderman struckmeyer wilcox associate economists mr kos manager system open market account messrs oliner slifman associate directors division research statistics board governors mr whitesell deputy associate director division monetary affairs board governors messrs english sheets assistant directors division monetary affairs international finance respectively board governors mr simpson senior adviser division research statistics board governors mr small project manager division monetary affairs board governors mr chaboud mses kusko weinbach senior economists divisions international finance research statistics monetary affairs respectively board governors ms roush economist division monetary affairs board governors mr luecke senior financial analyst division monetary affairs board governors ms low open market secretariat specialist division monetary affairs board governors mr stone first vice president federal reserve bank philadelphia messrs fuhrer rosenblum executive vice presidents federal reserve banks boston dallas respectively messrs evans hakkio mses mester perelmuter messrs rasche rolnick steindel senior vice presidents federal reserve banks chicago kansas city philadelphia new york st louis minneapolis new york respectively mr hetzel senior economist federal reserve bank richmond agenda meeting reported advices election following members alternate members FOMC term beginning january 31 2006 received individuals executed oaths office elected members alternate members follows timothy f geithner president federal reserve bank new york christine cumming first vice president federal reserve bank new york alternate jeffrey lacker president federal reserve bank richmond cathy e minehan president federal reserve bank boston alternate sandra pianalto president federal reserve bank cleveland michael h moskow president federal reserve bank chicago alternate jack guynn president federal reserve bank atlanta william poole president federal reserve bank st louis alternate janet l yellen president federal reserve bank san francisco thomas hoenig president federal reserve bank kansas city alternate unanimous vote following officers FOMC selected serve selection successors first regularly scheduled meeting committee 2007 understanding event discontinuance official connection board governors federal reserve bank would cease official connection FOMC alan greenspan chairman 1 timothy f geithner vice chairman vincent r reinhart secretary economist deborah j danker deputy secretary david w skidmore assistant secretary michelle smith assistant secretary scott g alvarez general counsel thomas c baxter jr,0,2006-02-21,0,0
1,2006-01-31,statement,for immediate release share the FOMC decided today to raise its target for the federal funds rate by 25 basis points to 4 1 2 percent although recent economic data have been uneven the expansion in economic activity appears solid core inflation has stayed relatively low in recent months and longer term inflation expectations remain contained nevertheless possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures the FOMC judges that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance in any event the FOMC will respond to changes in economic prospects as needed to foster these objectives,immediate release share FOMC decided today raise target federal funds rate 25 basis points 4 1 2 percent although recent economic data uneven expansion economic activity appears solid core inflation stayed relatively low recent months longer term inflation expectations remain contained nevertheless possible increases resource utilization well elevated energy prices potential add inflation pressures committee judges policy firming may needed keep risks attainment sustainable economic growth price stability roughly balance event committee respond changes economic prospects needed foster objectives,0,2006-01-31,0,0
2,2000-10-03,statement,utilization of the pool of available workers remains at an unusually high level moreover the increase in energy prices though having limited effect on core measures of prices to date poses a risk of raising inflation expectations the subdued behavior of those expectations so far has contributed importantly to maintaining an environment conducive to maximum sustainable growth against the background of its long term goals of price stability and sustainable economic growth and of the information currently available the FOMC believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the future 2000 monetary policy home news and events accessibility,immediate release FOMC meeting today decided maintain existing stance monetary policy keeping target federal funds rate 6 1 2 percent recent data indicated expansion aggregate demand moderated pace closer enhanced rate growth economy potential produce rapid advances productivity also continue help contain costs hold underlying price pressures however utilization pool available workers remains unusually high level moreover increase energy prices though limited effect core measures prices date poses risk raising inflation expectations subdued behavior expectations far contributed importantly maintaining environment conducive maximum sustainable growth background long term goals price stability sustainable economic growth information currently available committee believes risks continue weighted mainly toward conditions may generate heightened inflation pressures future 2000 monetary policy home news events accessibility,0,2000-10-03,-1,1
3,2000-10-03,minutes,indexes of stock market prices declined somewhat over the intermeeting period in foreign exchange markets the trade weighted value of the dollar increased somewhat further on balance in terms of an index of major foreign currencies the dollar s net appreciation against the euro occurred despite a small policy tightening by the ecb on august 31 as sentiment toward that currency remained negative in part because of concerns about capital flows out of the euro area the major industrial countries undertook joint foreign exchange intervention late in the period on september 22 to stem the euro s slide the intervention was at the initiative of the ecb and was joined by the united states and other nations because of shared concern about the potential implications of recent movements in the euro the dollar also posted gains against the currencies of a number of other important trading partners notably the brazilian real and the mexican peso the broad monetary aggregates had expanded relatively briskly in recent months the growth of m2 perhaps reflecting the recent vigor of consumer spending picked up considerably in august and september after having increased slowly in june and july averaged across the past four months however m2 increased at a pace noticeably below that of earlier in the year with the slowdown partly reflecting a lagged response to a widening during the first half of the year of the opportunity costs of holding m2 assets m3 expansion remained robust in august and september though somewhat below the pace in the first half of the year the growth of domestic nonfinancial debt slowed somewhat in july and august in association with some moderation in the brisk pace of private borrowing that was offset in part by a less rapid paydown of federal debt the staff forecast prepared for this meeting suggested that the economic expansion after slowing considerably from its elevated pace of recent quarters would be sustained at a rate a little below the staff s current estimate of the economy s potential output the forecast anticipated that the expansion of domestic final demand would be held back to some extent by the eventual disappearance of positive wealth effects associated with outsized earlier gains in equity prices and by higher interest rates as a result growth of spending on consumer durables was expected to remain appreciably below that in recent quarters and housing demand would trend,though previous policy tightening actions yet exerted full restraining effects members emphasized however unusually taut labor markets could result greater upward pressures unit costs prices especially productivity growth level edge lower future agreed statement accompanying announcement decision continue indicate risks remained weighted mainly direction rising inflation open market operations throughout intermeeting period directed toward maintaining federal funds rate committee targeted level 6 1 2 percent average rate close intended level short intermediate term interest rates moved lower interval though long term yields changed little drifted slightly higher market expectations near term prospects interest rates revised downward response committee statement august meeting interpreted expressing greater confidence growth rates aggregate demand aggregate supply coming better alignment subsequent data releases seen confirming earlier indications slowing economic expansion background upward pressure long term treasury yields growing concerns corporate earnings broad indexes stock market prices declined somewhat intermeeting period foreign exchange markets trade weighted value dollar increased somewhat balance terms index major foreign currencies dollar net appreciation euro occurred despite small policy tightening ecb august 31 sentiment toward currency remained negative part concerns capital flows euro area major industrial countries undertook joint foreign exchange intervention late period september 22 stem euro slide intervention initiative ecb joined united states nations shared concern potential implications recent movements euro dollar also posted gains currencies number important trading partners notably brazilian real mexican peso broad monetary aggregates expanded relatively briskly recent months growth m2 perhaps reflecting recent vigor consumer spending picked considerably august september increased slowly june july averaged across past four months however m2 increased pace noticeably earlier year slowdown partly reflecting lagged response widening first half year opportunity costs holding m2 assets m3 expansion remained robust august september though somewhat pace first half year growth domestic nonfinancial debt slowed somewhat july august association moderation brisk pace private borrowing offset part less rapid paydown federal debt staff forecast prepared meeting suggested economic expansion slowing considerably elevated pace recent quarters would sustained rate little staff current estimate economy potential output forecast anticipated expansion domestic final demand would held back extent eventual disappearance positive wealth effects associated outsized earlier gains equity prices higher interest rates result growth spending consumer durables expected remain appreciably recent quarters housing demand would trend slightly downward contrast business fixed investment notably outlays equipment software projected remain robust brisk growth abroad would boost expansion u exports period ahead core consumer price inflation projected rise little forecast,0,2000-11-16,-1,1
4,2000-03-21,statement,growth and of the information currently available the FOMC believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future in taking the discount rate action the federal reserve board approved requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st louis minneapolis kansas city and san francisco the discount rate is the rate charged depository institutions when they borrow short term adjustment credit from their district federal reserve banks 2001 monetary policy home news and events accessibility,raise target federal funds rate 25 basis points 6 percent related action board governors approved 25 basis point increase discount rate 5 1 2 percent economic conditions considerations addressed committee essentially committee met february committee remains concerned increases demand continue exceed growth potential supply could foster inflationary imbalances would undermine economy record economic expansion background long run goals price stability sustainable economic growth information currently available committee believes risks weighted mainly toward conditions may generate heightened inflation pressures foreseeable future taking discount rate action federal reserve board approved requests submitted boards directors federal reserve banks boston new york philadelphia cleveland richmond atlanta chicago st louis minneapolis kansas city san francisco discount rate rate charged depository institutions borrow short term adjustment credit district federal reserve banks 2001 monetary policy home news events accessibility,0,2000-03-21,-1,1
5,2000-03-21,minutes,the available information suggested that economic expansion continued to be robust in most foreign industrial economies the japanese economy was still the notable exception though some favorable signs were evident economic activity in the developing countries also picked up further with asian countries registering the largest gains price inflation had remained moderate in recent months with the exception of higher energy prices consumer prices jumped in february as energy prices surged abstracting from energy prices however consumer price inflation was moderate in january and february moreover the increase in consumer prices of items other than food and energy during the twelve months ended in february was the same as the change during the previous twelve month period at the producer level prices of finished goods other than food and energy changed little in january and february and their rise during the twelve months ended in february was somewhat smaller than the advance during the previous twelve month period at earlier stages of processing however producer prices registered somewhat larger increases than those for finished goods in both the january february period and the twelve months ended in february with regard to labor costs average hourly earnings grew at a slightly faster rate in january and february than they had in the fourth quarter of last year however the advance in this earnings measure in the twelve months ended in february was about the same as that in the previous twelve month period at its meeting on february 1 2 2000 the FOMC adopted a directive that called for a slight tightening of conditions in reserve markets consistent with an increase of ¼ percentage point in the federal funds rate to an average of about 5 3 4 percent the members agreed that this action was needed to help bring the growth of aggregate demand into better alignment with the expansion of potential aggregate supply and thereby help avert rising inflationary pressures the members also agreed that the risks remained weighted mainly in the direction of greater inflation pressures and that further tightening actions might be necessary to bring about financial conditions that were sufficiently firm to contain upward pressures on labor costs and prices open market operations during the intermeeting period were directed toward implementing the desired slightly greater pressure on reserve positions and the federal funds rate averaged very close to the FOMC s 5 3 4 percent target,nonresidential structures turned last autumn rose rapidly january office commercial construction activity robust industrial building little changed pace accumulation manufacturing trade inventories slowed somewhat january elevated rate fourth quarter however sales grew briskly aggregate inventory sales ratio edged already low level manufacturing stocks increased moderately january however shipments grew aggregate stock shipments ratio sector declined new low wholesale retail inventories increased line sales inventory sales ratios sectors stayed bottom respective ranges past twelve months u trade deficit goods services climbed new high january value exports retreating peak reached december value imports rising sharply drop exports concentrated computers semiconductors aircraft chemicals consumer goods increase imports primarily oil automotive products available information suggested economic expansion continued robust foreign industrial economies japanese economy still notable exception though favorable signs evident economic activity developing countries also picked asian countries registering largest gains price inflation remained moderate recent months exception higher energy prices consumer prices jumped february energy prices surged abstracting energy prices however consumer price inflation moderate january february moreover increase consumer prices items food energy twelve months ended february change previous twelve month period producer level prices finished goods food energy changed little january february rise twelve months ended february somewhat smaller advance previous twelve month period earlier stages processing however producer prices registered somewhat larger increases finished goods january february period twelve months ended february regard labor costs average hourly earnings grew slightly faster rate january february fourth quarter last year however advance earnings measure twelve months ended february previous twelve month period meeting february 1 2 2000 committee adopted directive called slight tightening conditions reserve markets consistent increase ¼ percentage point federal funds rate average 5 3 4 percent members agreed action needed help bring growth aggregate demand better alignment expansion potential aggregate supply thereby help avert rising inflationary pressures members also agreed risks remained weighted mainly direction greater inflation pressures tightening actions might necessary bring financial conditions sufficiently firm contain upward pressures labor costs prices open market operations intermeeting period directed toward implementing desired slightly greater pressure reserve positions federal funds rate averaged close committee 5 3 4 percent target committee action announcement risks weighted direction rising inflation widely anticipated little immediate effect market yields subsequently market rates moved response receipt data signaled persisting strength economy turned back response new information indicating continued low inflation greater volatility equity prices balance intermeeting period interest rates private instruments registered small mixed changes,0,2000-05-18,-1,1
6,2011-01-26,statement,levels consistent with its mandate,committee regularly review pace securities purchases overall size asset purchase program light incoming information adjust program needed best foster maximum employment price stability committee maintain target range federal funds rate 0 1 4 percent continues anticipate economic conditions including low rates resource utilization subdued inflation trends stable inflation expectations likely warrant exceptionally low levels federal funds rate extended period committee continue monitor economic outlook financial developments employ policy tools necessary support economic recovery help ensure inflation time levels consistent mandate,0,2011-01-26,0,0
7,2011-01-26,minutes,underlying inflation such as the trimmed mean and median cpis also remained subdued despite the steep run up in agricultural commodity prices over the second half of last year increases in retail food prices remained modest however consumer energy prices moved up sharply in december and prices of most types of crude oil increased during december and into january the prices of nonfuel industrial commodities also continued to rise over the intermeeting period in december and early january survey measures of households long term inflation expectations stayed in the range that has prevailed for some time available measures of labor compensation showed that labor cost pressures were still restrained as wage increases slowed along with inflation and productivity gains appeared to remain substantial the 12 month change in average hourly earnings for all employees continued to be low in december the u s international trade deficit narrowed slightly in november as both nominal exports and imports moved up by almost the same amount the increase in exports was driven by agricultural goods in part reflecting higher prices as well as by consumer goods in contrast exports of machinery and automotive products fell reversing their october gains the rise in imports reflected an increase in the value of imported petroleum products mostly explained by higher prices and of capital goods which was supported importantly by a jump in computers at the same time noticeable decreases were registered for imports of automotive products services and consumer goods which were primarily due to pharmaceuticals these developments combined with the substantial narrowing in the trade deficit in october implied that the trade deficit likely shrank considerably in the fourth quarter of 2010 recent indicators of foreign economic activity suggested that the global recovery was strengthening much of this strength was centered in the emerging market economies emes where widespread increases in exports and in manufacturing purchasing managers indexes pmis pointed to a resurgence in economic growth following a slowdown in the third quarter of 2010 for china and singapore real gross domestic product gdp data for the fourth quarter confirmed a rebound in economic growth in contrast the rise in economic activity in the advanced foreign economies afes remained at a subdued pace in the euro area the incoming economic data were mixed industrial production manufacturing pmis and industrial confidence firmed but retail sales and consumer confidence softened the data also pointed to an,business outlays nonresidential structures stayed weak reflecting high vacancy rates low property values office commercial properties well tight credit conditions commercial real estate contrast investment drilling mining structures increased buoyed rising energy prices real nonfarm inventory investment appeared slowed substantially fourth quarter sizable increase previous quarter much fourth quarter downswing likely associated drawdown motor vehicle stocks accumulation third quarter book value data october november suggested pace inventory accumulation also slowing outside motor vehicle sector inventory sales ratios toward end 2010 close pre recession norms purchasing managers surveyed december reported customers inventories high measures underlying consumer price inflation remained low december core consumer price index cpi edged goods prices unchanged prices non energy services rose slightly 12 month change core cpi remained near low readings previous two months measures underlying inflation trimmed mean median cpis also remained subdued despite steep run agricultural commodity prices second half last year increases retail food prices remained modest however consumer energy prices moved sharply december prices types crude oil increased december january prices nonfuel industrial commodities also continued rise intermeeting period december early january survey measures households long term inflation expectations stayed range prevailed time available measures labor compensation showed labor cost pressures still restrained wage increases slowed along inflation productivity gains appeared remain substantial 12 month change average hourly earnings employees continued low december u international trade deficit narrowed slightly november nominal exports imports moved almost amount increase exports driven agricultural goods part reflecting higher prices well consumer goods contrast exports machinery automotive products fell reversing october gains rise imports reflected increase value imported petroleum products mostly explained higher prices capital goods supported importantly jump computers time noticeable decreases registered imports automotive products services consumer goods primarily due pharmaceuticals developments combined substantial narrowing trade deficit october implied trade deficit likely shrank considerably fourth quarter 2010 recent indicators foreign economic activity suggested global recovery strengthening much strength centered emerging market economies emes widespread increases exports manufacturing purchasing managers indexes pmis pointed resurgence economic growth following slowdown third quarter 2010 china singapore real gross domestic product gdp data fourth quarter confirmed rebound economic growth contrast rise economic activity advanced foreign economies afes remained subdued pace euro area incoming economic data mixed industrial production manufacturing pmis industrial confidence firmed retail sales consumer confidence softened data also pointed uneven expansion across euro area suggesting economic growth germany continued outpace euro area periphery japan exports household spending soft although,0,2011-02-16,0,0
8,2002-11-06,statement,in productivity is providing important ongoing support to economic activity however incoming economic data have tended to confirm that greater uncertainty in part attributable to heightened geopolitical risks is currently inhibiting spending production and employment inflation and inflation expectations remain well contained in these circumstances the FOMC believes that today s additional monetary easing should prove helpful as the economy works its way through this current soft spot with this action the FOMC believes that against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals in the foreseeable future,immediate release FOMC decided today lower target federal funds rate 50 basis points 1 1 4 percent related action board governors approved 50 basis point reduction discount rate 3 4 percent committee continues believe accommodative stance monetary policy coupled still robust underlying growth productivity providing important ongoing support economic activity however incoming economic data tended confirm greater uncertainty part attributable heightened geopolitical risks currently inhibiting spending production employment inflation inflation expectations remain well contained circumstances committee believes today additional monetary easing prove helpful economy works way current soft spot action committee believes background long run goals price stability sustainable economic growth information currently available risks balanced respect prospects goals foreseeable future,0,2002-11-06,0,-1
9,2002-11-06,minutes,robust recovery could not be ruled out in the absence of further major shocks to confidence with pressures on labor and other resources expected to be limited over coming quarters inflation was likely to remain subdued and perhaps even to edge a little lower in their review of developments and prospects in key expenditure sectors of the economy members noted that consumer spending appeared to have decelerated since midsummer while an anticipated and hopefully compensating strengthening in business investment had not yet materialized factors cited by the members that appeared to help account for the recent softness in consumer demand included substantial decreases in equity wealth declining consumer confidence in the context of geopolitical and other uncertainties the waning effects of earlier income tax cuts and the failure of the most recent round of motor vehicle sales incentives to maintain the extraordinary level of sales seen during the summer looking ahead some members referred to subdued expectations among their retailer contacts regarding the upcoming holiday season with sales prospects likely to be held back at least marginally by the lingering effects of the recent west coast dock strike on the availability of merchandise there also was some question as to whether funds extracted from rising home equity values would continue to provide as important a source of financing for purchases of consumer durables as they had for some time unless mortgage interest rates declined from their already low levels members also mentioned a number of favorable factors bearing on the longer term outlook for consumer spending these included the prospect of strengthening consumer confidence if geopolitical uncertainties began to dissipate the gradual diminution of the negative wealth effects from earlier stock market declines and importantly the outlook for continued robust growth in structural labor productivity and its favorable effects over time on wages and salaries high and persisting uncertainty and concomitant aversion to risk among business executives apparently continued to hold down business investment spending while such expenditures remained at a high level members saw few signs of a significant pickup in the nearer term apart from notably adverse business sentiment and disappointing growth in sales and profits factors that were curbing capital expenditures cited by members included persisting capital overhangs stemming from what were now seen as excessive earlier buildups in equipment and software and substantial idle capacity in many industrial and commercial structures some divergence of opinion was,eliminated business capital stocks moved closer desired levels consequence slowly improving outlook sales profits low financing costs temporary federal tax incentive investment new equipment software expected boost business investment spending even less robust pickup final sales expected forecast period would put somewhat less pressure resource margins anticipated previously level activity would remain economy potential longer time persistence underutilized resources expected foster slight moderation core price inflation committee discussion current prospective economic conditions members commented recent data performance economy disappointing tended confirm widespread anecdotal indications economic growth slowed pace well experienced earlier year even members acknowledged economy displayed remarkable resiliency past year despite subjected severe adverse shocks latter clearly taken toll confidence notably business sector consumer spending held relatively well business investment expenditures continued constrained high degree uncertainty related caution looking beyond near term members anticipated prevailing uncertainties began diminish economy resiliency abetted broadly accommodative monetary fiscal polices continuation strong uptrend productivity would underpin gradual economic recovery indeed members commented even robust recovery could ruled absence major shocks confidence pressures labor resources expected limited coming quarters inflation likely remain subdued perhaps even edge little lower review developments prospects key expenditure sectors economy members noted consumer spending appeared decelerated since midsummer anticipated hopefully compensating strengthening business investment yet materialized factors cited members appeared help account recent softness consumer demand included substantial decreases equity wealth declining consumer confidence context geopolitical uncertainties waning effects earlier income tax cuts failure recent round motor vehicle sales incentives maintain extraordinary level sales seen summer looking ahead members referred subdued expectations among retailer contacts regarding upcoming holiday season sales prospects likely held back least marginally lingering effects recent west coast dock strike availability merchandise also question whether funds extracted rising home equity values would continue provide important source financing purchases consumer durables time unless mortgage interest rates declined already low levels members also mentioned number favorable factors bearing longer term outlook consumer spending included prospect strengthening consumer confidence geopolitical uncertainties began dissipate gradual diminution negative wealth effects earlier stock market declines importantly outlook continued robust growth structural labor productivity favorable effects time wages salaries high persisting uncertainty concomitant aversion risk among business executives apparently continued hold business investment spending expenditures remained high level members saw signs significant pickup nearer term apart notably adverse business sentiment disappointing growth sales profits factors curbing capital expenditures cited members included persisting capital overhangs stemming seen excessive earlier buildups equipment software substantial idle,0,2002-12-12,0,-1
