,Date,Press Release,symbol,open,high,low,close,volume,day_before_close,day_after_open,day_after_close,two_day_after_close,three_day_after_close,fed_announce_avg,fed_announce_pct_change,two_day_before_close,three_day_before_close,four_day_before_close,prev_close_avg,pct_change_sp500,fed_rate,prev_fed_rate,pct_change_in_fed_rate,10_yr,one_day_before_10,two_day_before_10,three_day_before_10,prev_days_avg_treas,pct_change_in_treas,label_market,label_FED
0,1993-02-03,0,SP500,442.56,447.35,442.56,447.2,345410000,409.53,481.96,480.71,478.65,786.73,456.7683333333334,41.940903062889,296.97,252.21,275.99,275.0566666666667,32.83601526953662,3.56,3.08,-15.584415584415584,6.45,7.36,9.01,8.21,8.193333333333333,-27.028423772609816,0,-1
1,1993-03-23,0,SP500,448.88,449.8,448.3,448.76,232730000,409.91,468.89,468.54,495.95,1095.55,456.82166666666666,58.30207049731489,337.22,288.98,268.91,298.37000000000006,27.210851162450282,2.93,2.92,-0.34246575342466545,5.91,7.62,8.52,9.43,8.523333333333333,-44.21883812746757,0,-1
2,1993-05-18,0,SP500,440.39,441.26,437.95,440.32,264300000,412.81,449.39,453.69,519.58,1105.82,452.69666666666666,59.062354934196634,354.64,317.97,251.35,307.9866666666667,25.392634222362183,2.97,2.94,-1.0204081632653146,6.15,7.28,8.75,8.78,8.270000000000001,-34.471544715447166,0,-1
3,1993-07-07,0,SP500,441.4,443.63,441.4,442.83,253170000,409.16,446.15,448.38,556.37,912.2,457.38166666666666,49.85949718628956,324.91,271.78,307.4,301.36333333333334,26.345846775507546,3.39,3.09,-9.70873786407768,5.8,6.87,8.02,8.95,7.946666666666666,-37.01149425287356,0,-1
4,1993-08-17,0,SP500,452.38,453.7,451.96,453.13,261320000,420.74,465.11,465.17,559.04,1083.67,469.2616666666667,56.69699570287386,327.83,344.45,260.77,311.01666666666665,26.0786550680547,3.1,3.02,-2.6490066225165587,5.7,6.56,8.8,8.18,7.846666666666667,-37.66081871345029,0,-1
5,1993-09-21,0,SP500,455.05,455.8,449.64,452.95,300310000,422.14,463.42,461.46,583.0,1023.89,473.00333333333333,53.80330569364548,311.32,345.7,270.16,309.06,26.78732174160231,3.23,3.14,-2.866242038216556,5.47,6.42,8.99,8.2,7.87,-43.87568555758685,0,-1
6,1993-11-16,0,SP500,463.75,466.74,462.97,466.74,303980000,420.68,465.06,465.62,597.34,1135.87,479.865,57.7535281326208,317.12,340.58,263.82,307.17333333333335,26.98171214858483,3.02,2.99,-1.0033444816053445,5.66,6.9,8.3,7.82,7.673333333333335,-35.57126030624266,0,-1
7,1993-12-21,0,SP500,465.84,465.92,464.03,465.3,273370000,440.7,457.24,459.61,610.49,1202.84,483.1966666666667,59.82868322747276,331.75,344.78,277.38,317.96999999999997,27.84887678692989,2.97,3.08,3.571428571428567,5.85,6.71,8.11,7.77,7.53,-28.717948717948733,0,1
8,1994-02-04,0,SP500,480.68,481.02,469.28,469.81,378380000,449.56,786.73,789.26,1006.9,1248.49,663.8233333333334,46.82990385719282,413.85,348.34,252.21,338.1333333333334,24.785716404187788,3.19,3.19,0.0,5.94,6.39,7.29,7.88,7.1866666666666665,-20.987654320987644,0,0
9,1994-03-22,0,SP500,468.4,470.47,467.88,468.8,282240000,448.88,495.07,495.67,650.62,1297.01,504.57333333333327,61.09719020413619,367.48,335.69,290.49,331.22,26.211905186241303,3.44,3.47,0.8645533141210446,6.44,5.96,8.13,8.53,7.539999999999999,-17.080745341614886,0,1
10,1994-05-17,0,SP500,444.49,449.37,443.7,449.37,311280000,440.37,528.19,527.07,668.91,1339.49,509.73333333333335,61.94571565794942,372.39,354.47,317.48,348.1133333333334,20.949807358963284,4.27,4.26,-0.2347417840375537,7.03,6.07,8.08,8.69,7.613333333333333,-8.297771455666188,0,-1
11,1994-07-06,0,SP500,446.29,447.28,444.18,446.13,236230000,441.43,547.26,553.99,1157.33,1388.12,598.7383333333333,56.86696154991403,413.84,358.42,321.55,364.6033333333333,17.404042921112456,5.02,4.36,-15.137614678899064,7.32,5.8,6.9,8.51,7.07,3.415300546448087,1,-1
12,1994-08-16,0,SP500,461.22,465.2,459.89,465.01,306640000,452.38,558.57,559.97,665.21,1330.77,527.0600000000001,60.3943581535502,385.58,332.39,345.66,354.54333333333335,21.627098162311917,4.35,4.72,7.83898305084746,7.19,5.68,7.84,8.76,7.426666666666667,-3.291608715808989,0,1
