,FOMC_date,document_data,document_type,press_conference,release_date,label,sentiment_score,LM_sentiment_label,FinBERT_pretrained_sentiment_score
0,2011-01-26,information received since FOMC met december confirms economic recovery continuing though rate insufficient bring significant improvement labor market conditions growth household spending picked late last year remains constrained high unemployment modest income growth lower housing wealth tight credit business spending equipment software rising investment nonresidential structures still weak employers remain reluctant add payrolls housing sector continues depressed although commodity prices risen longer term inflation expectations remained stable measures underlying inflation trending downward consistent statutory mandate committee seeks foster maximum employment price stability currently unemployment rate elevated measures underlying inflation somewhat low relative levels committee judges consistent longer run dual mandate although committee anticipates gradual return higher levels resource utilization context price stability progress toward objectives disappointingly slow promote stronger pace economic recovery help ensure inflation time levels consistent mandate committee decided today continue expanding holdings securities announced november particular committee maintaining existing policy reinvesting principal payments securities holdings intends purchase 600 billion longer term treasury securities end second quarter 2011 committee regularly review pace securities purchases overall size asset purchase program light incoming information adjust program needed best foster maximum employment price stability committee maintain target range federal funds rate 0 1 4 percent continues anticipate economic conditions including low rates resource utilization subdued inflation trends stable inflation expectations likely warrant exceptionally low levels federal funds rate extended period committee continue monitor economic outlook financial developments employ policy tools necessary support economic recovery help ensure inflation time levels consistent mandate,statement,0,2011-01-26,2,0,neutral,positive
1,2013-06-19,information received since FOMC met may suggests economic activity expanding moderate pace labor market conditions shown improvement recent months balance unemployment rate remains elevated household spending business fixed investment advanced housing sector strengthened fiscal policy restraining economic growth partly reflecting transitory influences inflation running committee longer run objective longer term inflation expectations remained stable consistent statutory mandate committee seeks foster maximum employment price stability committee expects appropriate policy accommodation economic growth proceed moderate pace unemployment rate gradually decline toward levels committee judges consistent dual mandate committee sees downside risks outlook economy labor market diminished since fall committee also anticipates inflation medium term likely run 2 percent objective support stronger economic recovery help ensure inflation time rate consistent dual mandate committee decided continue purchasing additional agency mortgage backed securities pace 40 billion per month longer term treasury securities pace 45 billion per month committee maintaining existing policy reinvesting principal payments holdings agency debt agency mortgage backed securities agency mortgage backed securities rolling maturing treasury securities auction taken together actions maintain downward pressure longer term interest rates support mortgage markets help make broader financial conditions accommodative committee closely monitor incoming information economic financial developments coming months committee continue purchases treasury agency mortgage backed securities employ policy tools appropriate outlook labor market improved substantially context price stability committee prepared increase reduce pace purchases maintain appropriate policy accommodation outlook labor market inflation changes determining size pace composition asset purchases committee continue take appropriate account likely efficacy costs purchases well extent progress toward economic objectives support continued progress toward maximum employment price stability committee expects highly accommodative stance monetary policy remain appropriate considerable time asset purchase program ends economic recovery strengthens particular committee decided keep target range federal funds rate 0 1 4 percent currently anticipates exceptionally low range federal funds rate appropriate least long unemployment rate remains 6 1 2 percent inflation one two years ahead projected half percentage point committee 2 percent longer run goal longer term inflation expectations continue well anchored determining long maintain highly accommodative stance monetary policy committee also consider information including additional measures labor market conditions indicators inflation pressures inflation expectations readings financial developments committee decides begin remove policy accommodation take balanced approach consistent longer run goals maximum employment inflation 2 percent,statement,1,2013-06-19,-1,6,positive,negative
2,2017-07-26,july 25 26 2017 joint meeting FOMC board governors held offices board governors federal reserve system washington c tuesday july 25 2017 1 00 p continued wednesday july 26 2017 9 00 1 present janet l yellen chair william c dudley vice chairman lael brainard charles l evans stanley fischer patrick harker robert kaplan neel kashkari jerome h powell raphael w bostic loretta j mester mark l mullinix michael strine john c williams alternate members FOMC james bullard esther l george eric rosengren presidents federal reserve banks st louis kansas city boston respectively brian f madigan secretary matthew luecke deputy secretary david w skidmore assistant secretary scott g alvarez general counsel michael held deputy general counsel steven b kamin economist thomas laubach economist david w wilcox economist james clouse thomas connors michael dotsey eric engen evan f koenig beth anne wilson mark l j wright associate economists simon potter manager system open market account lorie k logan deputy manager system open market account ann e misback 2 secretary office secretary board governors michael gibson director division supervision regulation board governors andreas lehnert director division financial stability board governors margie shanks 3 deputy secretary office secretary board governors stephen meyer deputy director division monetary affairs board governors mark e van der weide deputy director division supervision regulation board governors trevor reeve senior special adviser chair office board members board governors joseph w gruber david reifschneider john roberts special advisers board office board members board governors linda robertson 2 assistant board office board members board governors joshua gallin david e lebow senior associate directors division research statistics board governors fabio natalucci senior associate director division monetary affairs board governors antulio n bomfim ellen e meade edward nelson robert j tetlow joyce k zickler senior advisers division monetary affairs board governors jeremy b rudd senior adviser division research statistics board governors stephanie r aaronson glenn follette assistant directors division research statistics board governors elizabeth klee assistant director division monetary affairs board governors penelope beattie 2 assistant secretary office secretary board governors dana l burnett section chief division monetary affairs board governors john kandrac senior economist division monetary affairs board governors mark libell 3 assistant congressional liaison office board members board governors gregory l stefani first vice president federal reserve bank cleveland david altig kartik b athreya beverly hirtle glenn rudebusch ellis w tallman christopher j waller executive vice presidents federal reserve banks atlanta richmond new york san francisco cleveland st louis respectively daniel aaronson joe peek jonathan l willis vice presidents federal reserve banks chicago boston kansas city respectively selection committee officer unanimous vote committee selected mark e van der weide serve general counsel effective time becomes board governors general counsel selection successor first regularly scheduled meeting committee 2018 developments financial markets open market operations manager system open market account soma reported developments domestic foreign financial markets period since june fomc meeting intermeeting period relatively uneventful bond yields advanced economies increased moderately part reflecting evolving market perceptions prospects foreign monetary policies u bond yields rose smaller degree value dollar foreign exchange markets decreased implied volatility fixed income markets remained low equity prices rose notable advances indexes emerging markets increase fomc target range federal funds rate june meeting reflected money market interest rates effective federal funds rate near middle new target range intermeeting period except quarter end take system overnight reverse repurchase agreement facility averaged 200 billion conditions foreign exchange swap markets fairly stable demand central bank dollar auctions relatively low manager also reported small value tests open market operations conducted routinely promote operational readiness market expectations path federal funds rate little changed survey evidence suggested market participants anticipated fomc would announce september meeting date implementation change reinvestment policy although couple survey respondents expressed view timing could affected developments regarding federal debt ceiling survey results also suggested views somewhat dispersed respondents typically expected effects bond yields spreads mortgage backed securities change reinvestment policy modest unanimous vote committee ratified open market desk domestic transactions intermeeting period intervention operations foreign currencies system account intermeeting period staff review economic situation information reviewed july 25 26 meeting showed labor market conditions continued strengthen june real gross domestic product gdp likely expanded faster pace second quarter first quarter 12 month change overall consumer prices measured price index personal consumption expenditures pce slowed may total consumer price inflation core inflation excludes consumer food energy prices running 2 percent data consumer producer price indexes june suggested total core pce price inflation 12 month change basis remained pace similar seen previous month survey based measures longer run inflation expectations little changed balance total nonfarm payroll employment expanded solidly june average monthly pace private sector job gains first half year essentially last year unemployment rate edged 4 4 percent june unemployment rates african americans hispanics declined slightly remained unemployment rates asians whites addition median length time unemployed african americans work exceeded comparable figures whites hispanics pattern prevailed least past two decades overall labor force participation rate edged june share workers employed part time economic reasons rose bit rate private sector job openings decreased may risen couple months quits rate hiring rate increased four week moving average initial claims unemployment insurance benefits remained low level mid july average hourly earnings employees increased 2 1 2 percent 12 months ending june comparable period year earlier little slower rate increase late 2016 total industrial production rose moderately balance may june increase output mines utilities offset net decline manufacturing production automakers assembly schedules indicated motor vehicle production would edge third quarter likely reflecting somewhat elevated level dealers inventories slowing pace vehicle sales last quarter however broader indicators manufacturing production new orders indexes national regional manufacturing surveys pointed moderate gains factory output near term real pce appeared rebounded second quarter increasing modestly first quarter much rebound looked concentrated spending energy services energy goods held unseasonably warm weather earlier year components nominal retail sales data used bureau economic analysis construct estimate pce declined june rose net second quarter light motor vehicle sales edged june however recent readings key factors influence consumer spending including continued gains employment real disposable personal income households net worth pointed solid growth total real pce near term consumer sentiment measured university michigan surveys consumers remained upbeat despite moved early july residential investment seemed declined second quarter starts new single family homes multifamily units rose june still decreased second quarter whole issuance building permits types housing lower second quarter first quarter sales existing homes decreased net may june new home sales may partly reversed previous month decline real private expenditures business equipment intellectual property appeared increased moderately second quarter solid gain first quarter nominal shipments nondefense capital goods excluding aircraft rose may new orders goods continued exceed shipments pointing gains shipments near term addition indicators business sentiment remained upbeat investment nonresidential structures appeared risen markedly slower pace second quarter first firms nominal spending nonresidential structures excluding drilling mining declined may number oil gas rigs operation indicator spending structures drilling mining sector leveled recent weeks increasing steadily past year nominal outlays defense june pointed increase real federal government purchases second quarter however real purchases state local governments appeared declined payrolls state local governments expanded second quarter nominal construction spending governments decreased net april may nominal u international trade deficit narrowed may increase exports small decline imports export growth led consumer goods automotive products services import decline driven consumer goods automotive products available data suggested net exports slight drag real gdp growth second quarter total u consumer prices measured pce price index increased 1 1 2 percent 12 months ending may core pce price inflation also 1 1 2 percent period 12 months ending june consumer price index cpi rose 1 1 2 percent core cpi inflation 1 3 4 percent median inflation expectations next 5 10 years michigan survey edged june preliminary reading july measures longer run inflation expectations generally little changed balance recent months although desk survey primary dealers survey market participants ticked recently incoming data suggested economic growth continued firm abroad especially among advanced foreign economies afes pickup advanced economy demand also contributed relatively strong growth china emerging asia growth latin america remained relatively weak partly reflecting tight monetary fiscal policies despite stronger momentum economic activity afes headline inflation declined sharply second quarter largely reflecting lower retail energy prices core inflation stayed subdued many afes although inflation also low emerging market economies emes remained elevated mexico rising food inflation earlier peso depreciation staff review financial situation domestic financial market conditions remained generally accommodative intermeeting period u equity prices rose longer term treasury yields increased slightly dollar depreciated committee decision raise target range federal funds rate 1 1 1 4 percent june meeting widely anticipated financial markets market participants reportedly viewed fomc communications largely line expectations financing conditions nonfinancial businesses households generally remained supportive growth spending fomc communications intermeeting period viewed broadly line investors expectations committee would continue remove policy accommodation gradual pace market participants generally interpreted information reinvestment policy provided june committee postmeeting statement addendum policy normalization principles plans consistent expectation change reinvestment policy likely occur year market participants also took note summary june minutes committee discussion progress toward committee 2 percent longer run inflation objective extent recent softness price data reflected idiosyncratic factors overnight index swap rates pointed little change expected path federal funds rate net yields intermediate longer term nominal treasury securities increased slightly intermeeting period although yields fell following publication lower expected cpi data yields boosted comments foreign central bank officials investors read pointing less accommodative monetary policies abroad previously expected measures inflation compensation based treasury inflation protected securities ticked since june fomc meeting despite intermeeting period gains longer term real nominal treasury yields remained low historical standards apparently weighed accommodative monetary policies abroad possibly declines long term neutral real interest rate recent years broad u equity price indexes rose one month ahead option implied volatility p 500 index vix remained historically low levels spreads yields investment speculative grade nonfinancial corporate bonds comparable maturity treasury securities narrowed bit net conditions short term funding markets stable intermeeting period reflecting fomc policy action june yields broad set money market instruments moved 25 basis points higher however much period net increase rates shorter dated treasury bills smaller reportedly reflecting reduction treasury bill supply financing large nonfinancial firms remained readily available al though debt issuance moderated gross issuance corporate bonds stepped june strong pace may issuance institutional leveraged loans continued robust commercial industrial lending banks remained quite weak second quarter responses july senior loan officer opinion survey bank lending practices sloos indicated depressed demand largely responsible banks lending standards little changed recent months cited reason lackluster loan demand subdued investment spending nonfinancial businesses banks also reported borrowers shifted sources external financing internally generated funds financing conditions commercial real estate cre remained accommodative although growth cre loans banks books slowed somewhat respondents july sloos reported tightening credit standards loans sloos respondents also reported standards cre loans tight relative historical range net demand cre loans weakened recent months pace issuance commercial mortgage backed securities cmbs first half year similar seen last year delinquency rates loans cmbs pools originated financial crisis continued increase financing conditions residential mortgage market little changed flows new credit continued moderate pace however growth mortgage loans banks books slowed somewhat first half year sloos respondents net reported standards residential mortgage loan categories eased slightly consumer credit continued grow year year basis expansion credit card auto loan balances appeared slow rapid pace evident end last year july sloos banks reported tightened standards widened spreads credit card auto loans net standards subprime segments loan types particularly tight compared historical ranges reflecting part continued tightening lending standards consumer loan growth banks moderated second quarter however weakness partially offset robust lending credit unions since june fomc meeting broad dollar depreciated 2 percent weakening afe currencies eme currencies dollar depreciation driven part policy communications central banks several afes market participants viewed less accommodative expected well weaker expected cpi data united states bank canada raised policy rate july sovereign yields increased notably canada germany united kingdom changes foreign equity indexes mixed intermeeting period european equities edged lower japanese equities little changed eme equities increased european peripheral sovereign bond spreads narrowed period reflecting part positive sentiment related outcomes french parliamentary election greek debt negotiations bank resolutions italy eme sovereign spreads little changed net staff provided latest report potential risks financial stability indicating continued judge vulnerabilities u financial system moderate balance overall assessment incorporated staff judgment since april assessment vulnerabilities associated asset valuation pressures edged notable elevated asset prices remained high climbed risk spreads narrowed expected actual volatility remained muted range financial markets however staff continued view vulnerabilities stemming financial leverage well maturity liquidity transformation low vulnerabilities leverage nonfinancial sector appeared remain moderate staff economic outlook u economic projection prepared staff july fomc meeting broadly similar previous forecast particular real gdp growth modest first quarter still expected stepped solid pace second quarter maintain roughly rate increase second half year projection staff scaled back assumptions regarding magnitude duration fiscal policy expansion coming years however effect change projection real gdp next couple years largely offset lower assumed paths exchange value dollar longer term interest rates thus june projection staff projected real gdp would expand modestly faster pace potential output 2017 2019 unemployment rate projected decline gradually next couple years continue running staff estimate longer run natural rate period staff forecast consumer price inflation measured change pce price index revised slightly 2017 response weaker expected incoming data inflation result inflation year expected similar magnitude last year upturn prices food non energy imports offset slower increase core pce prices weaker energy prices beyond 2017 forecast little revised previous projection recent weakness inflation viewed transitory staff continued project inflation would increase next couple years would close committee longer run objective 2018 2 percent 2019 staff viewed uncertainty around projections real gdp growth unemployment rate inflation similar average past 20 years one hand many financial market indicators uncertainty remained subdued uncertainty associated foreign outlook still appeared less late last year hand uncertainty direction economic policies judged remained elevated staff saw risks forecasts real gdp growth unemployment rate balanced risks projection inflation also seen balanced downside risks included possibilities longer term inflation expectations may edged dollar could appreciate substantially recent run soft inflation readings could prove persistent staff expected downside risks seen essentially counterbalanced upside risk inflation could increase expected economy projected continue operating longer run potential participants views current conditions economic outlook discussion economic situation outlook meeting participants agreed information received intermeeting period indicated labor market continued strengthen economic activity rising moderately far year job gains solid average since beginning year unemployment rate declined net period household spending business fixed investment continued expand 12 month basis overall inflation measure excluding food energy prices declined running 2 percent market based measures inflation compensation remained low survey based measures longer term inflation expectations little changed balance participants generally saw incoming information spending labor market indicators consistent overall expectations indicated views outlook economic growth labor market little changed balance since june fomc meeting participants continued expect gradual adjustments stance monetary policy economic activity would expand moderate pace labor market conditions would strengthen somewhat light continued low recent readings inflation participants expected inflation 12 month basis would remain somewhat 2 percent near term however participants judged inflation would stabilize around committee 2 percent objective medium term data received intermeeting period reinforced earlier indications real gdp growth turned slow first quarter year anticipated growth household spending appeared stronger second quarter first quarter weakness reports district contacts consumer spending generally positive however sales motor vehicles softened automakers reportedly adjusting production assessing whether underlying demand automobiles declined participants noted fundamentals underpinning consumption growth including increases payrolls remained solid however weakness retail sales june offered note caution reports district contacts manufacturing services also generally consistent moderate growth economic activity overall construction sector contacts generally upbeat reports energy sector indicated activity continuing expand albeit slowly previously survey evidence suggested oil drilling remained profitable locations current oil prices agricultural sector remained weak regions experiencing drought conditions couple participants received indications contacts business investment spending districts might strengthen nevertheless several participants noted uncertainty course federal government policy including areas fiscal policy trade health care tending weigh firms spending hiring plans addition participants suggested likelihood near term enactment fiscal stimulus program declined fiscal stimulus likely would smaller previously expected also observed budgets state local governments strain limiting growth expenditures contrast prospects u exports boosted brighter international economic outlook participants noted labor market conditions strengthened intermeeting period unemployment rate rose slightly 4 4 percent june remained low historical standards payroll gains picked substantially june addition employment population ratio increased participants observed unemployment rate likely close longer run normal rate could decline expected growth output remained somewhat excess potential growth rate participants expressed concerns possibility substantially overshooting full employment one citing past difficulties achieving soft landing district contacts confirmed tightness labor market relayed little evidence wage pressures although firms reportedly attempting attract workers variety nonwage benefits absence sizable wage pressures also seemed confirmed aggregate wage measures however participants suggested tight labor market measured aggregate wage growth held compositional changes employment associated hiring less experienced workers lower wages established workers addition number participants suggested rate increase nominal wages low relation rate productivity growth modest rate inflation participants discussed softness inflation recent months many participants noted much recent decline inflation probably reflected idiosyncratic factors nonetheless pce price inflation 12 month basis would likely continue held second half year effects factors monthly readings might depressed possible residual seasonality measured pce inflation still participants indicated expected inflation pick next couple years current low level stabilize around committee 2 percent objective medium term many participants however saw likelihood inflation might remain 2 percent longer currently expected several indicated risks inflation outlook could tilted downside participants agreed fall longer term inflation expectations would undesirable differed assessments whether inflation expectations well anchored one participant pointed stability number measures inflation expectations recent months others suggested continuing low inflation expectations may factor putting downward pressure inflation inflation expectations might need bolstered order ensure consistency committee longer term inflation objective number participants noted much analysis inflation used policymaking rested framework given rate expected inflation degree upward pressures prices wages rose aggregate demand goods services employment resources increased long run sustainable levels participants cited evidence suggesting framework particularly useful forecasting inflation however participants thought framework remained valid notwithstanding recent absence pickup inflation face tightening labor market real gdp growth excess estimates potential rate participants discussed possible reasons coexistence low inflation low unemployment included diminished responsiveness prices resource pressures lower natural rate unemployment possibility slack may better measured labor market indicators unemployment lags reaction nominal wage growth inflation labor market tightening restraints pricing power global developments innovations business models spurred advances technology couple participants argued response inflation resource utilization could become stronger output employment appreciably overshot full employment levels although participants pointed hypothesized nonlinear response little empirical support assessing recent developments financial market conditions participants referred continued low level longer term interest rates particular u treasury securities level yields appeared reflect low expected future short term interest rates depressed term premiums asset purchases foreign central banks federal reserve securities holdings also likely contributing currently low term premiums although exact size contributions uncertain number participants pointed potential concerns low longer term interest rates including possibility inflation expectations low yields could rise abruptly low yields inducing investors take excessive risk search higher returns several participants noted increases equity prices together continued low longer term interest rates led easing financial conditions however different assessments expressed implications development outlook aggregate demand consequently appropriate monetary policy according one view easing financial conditions meant economic effects committee actions gradually removing policy accommodation largely offset factors influencing financial markets tighter monetary policy otherwise warranted according another view recent rises equity prices might part broad based adjustment asset prices changes longer term financial conditions importantly including lower neutral real interest rate therefore recent equity price increases might provide much additional impetus aggregate spending goods services participants also considered equity valuations discussion financial stability couple participants noted favorable macroeconomic factors provided backing current equity valuations addition recent equity price increases seem stem importantly greater use leverage investors increases might pose appreciable risks financial stability several participants observed banking system well capitalized ample liquidity reducing risk financial instability noted financial stability assessments based current capital levels within banking sector assessments would likely adjusted measures loss absorbing capacity change participants underscored need monitor financial institutions shifts behavior erosion lending standards increased reliance unstable sources funding could lead subsequent problems addition participants judged important look signs either declining market volatility heavy concentration investors particular assets might create financial imbalances couple participants expressed concern smaller banks could assuming significant risks efforts expand cre lending furthermore couple participants saw possible sources financial instability pace increase real estate prices multifamily segment pattern lending borrowing activities certain government sponsored enterprises participants agreed regulatory supervisory tools developed since financial crisis played important role fostering financial stability changes regulation likely helped making banking system resilient major shocks promoting prudent balance sheet management strategies part nonbank financial institutions reducing degree variations lending private sector intensify cycles output asset prices participants agreed would desirable current regulatory framework changed ways allowed reemergence types risky practices contributed crisis discussion monetary policy participants reaffirmed view gradual approach removing policy accommodation likely remain appropriate promote committee objectives maximum employment 2 percent inflation participants commented number factors would influence ongoing assessments appropriate path federal funds rate saw outlook economic activity labor market little changed earlier projections continued anticipate inflation would stabilize around committee 2 percent objective medium term however participants expressed concern recent decline inflation occurred even resource utilization tightened noted increased uncertainty outlook inflation observed committee could afford patient current circumstances deciding increase federal funds rate argued additional adjustments incoming information confirmed recent low readings inflation likely persist inflation clearly path toward committee symmetric 2 percent objective medium term contrast participants worried risks arising labor market already reached full employment projected tighten easing financial conditions developed since committee policy normalization process initiated december 2015 cautioned delay gradually removing policy accommodation could result overshooting committee inflation objective would likely costly reverse delay could lead intensification financial stability risks imbalances might prove difficult unwind one participant stressed risks committee inflation objective financial stability would require careful monitoring participant expressed view gradual approach removing policy accommodation would likely strike appropriate balance promoting committee inflation full employment objectives mitigating financial stability concerns number participants also commented appropriate pace normalization federal funds rate would depend financial conditions evolved implications developments pace economic activity among considerations mentioned extent current downward pressure longer term yields arising federal reserve asset holdings pressure would diminish time balance sheet normalization proceeded strength degree persistence domestic global factors contributed easing financial conditions elevated asset prices whether much neutral rate interest would rise economy continued expand participants also discussed appropriate time implement plan reducing federal reserve securities holdings announced june committee postmeeting statement addendum policy normalization principles plans participants generally agreed light current assessment economic conditions outlook appropriate signal implementation program likely would begin relatively soon absent significant adverse developments economy financial markets many noted program expected contribute modestly reduction policy accommodation several reiterated program way adjustments stance monetary policy response economic developments would centered changes target range federal funds rate al though several participants prepared announce starting date program current meeting preferred defer decision upcoming meeting accumulating additional information economic outlook developments potentially affecting financial markets committee policy action discussion monetary policy period ahead members judged information received since committee met june indicated labor market continued strengthen economic activity rising moderately far year job gains solid average since beginning year unemployment rate declined household spending business fixed investment continued expand 12 month basis overall inflation measure excluding food energy prices declined running 2 percent market based measures inflation compensation remained low survey based measures longer term inflation expectations little changed balance respect economic outlook implications monetary policy members continued expect gradual adjustments stance monetary policy economic activity would expand moderate pace labor market conditions would strengthen somewhat inflation 12 month basis expected remain somewhat 2 percent near term stabilize around committee 2 percent objective medium term members saw near term risks economic outlook roughly balanced light concern recent slowing inflation agreed continue monitor inflation developments closely assessing current conditions outlook economic activity labor market inflation members decided maintain target range federal funds rate 1 1 1 4 percent noted stance monetary policy remained accommodative thereby supporting strengthening labor market conditions sustained return 2 percent inflation members agreed timing size future adjustments target range federal funds rate would depend assessment realized expected economic conditions relative committee objectives maximum employment 2 percent inflation expected economic conditions would evolve manner would warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run also stated actual path federal funds rate would depend economic outlook informed incoming data particular reaffirmed would carefully monitor actual expected inflation developments relative committee symmetric inflation goal members stressed importance underscoring committee commitment inflation objective members emphasized considering timing adjustments federal funds rate would evaluating incoming information assess likelihood recent low readings inflation transitory inflation trajectory consistent achieving committee 2 percent objective medium term members agreed meeting committee clarify time expected begin program reducing securities holdings gradual predictable manner updated postmeeting statement indicate committee time maintaining existing reinvestment policy intended begin implementing balance sheet normalization program relatively soon provided economy evolved broadly anticipated several members observed part committee various communications regarding change reaction financial markets change would likely limited conclusion discussion committee voted authorize direct federal reserve bank new york instructed otherwise execute transactions soma accordance following domestic policy directive released 2 00 p effective july 27 2017 FOMC directs desk undertake open market operations necessary maintain federal funds rate target range 1 1 1 4 percent including overnight reverse repurchase operations reverse repurchase operations maturities one day necessary accommodate weekend holiday similar trading conventions offering rate 1 00 percent amounts limited value treasury securities held outright system open market account available operations per counterparty limit 30 billion per day committee directs desk continue rolling maturing treasury securities auction continue reinvesting principal payments agency debt agency mortgage backed securities agency mortgage backed securities committee also directs desk engage dollar roll coupon swap transactions necessary facilitate settlement federal reserve agency mortgage backed securities transactions vote also encompassed approval statement released 2 00 p information received since FOMC met june indicates labor market continued strengthen economic activity rising moderately far year job gains solid average since beginning year unemployment rate declined household spending business fixed investment continued expand 12 month basis overall inflation measure excluding food energy prices declined running 2 percent market based measures inflation compensation remain low survey based measures longer term inflation expectations little changed balance consistent statutory mandate committee seeks foster maximum employment price stability committee continues expect gradual adjustments stance monetary policy economic activity expand moderate pace labor market conditions strengthen somewhat inflation 12 month basis expected remain somewhat 2 percent near term stabilize around committee 2 percent objective medium term near term risks economic outlook appear roughly balanced committee monitoring inflation developments closely view realized expected labor market conditions inflation committee decided maintain target range federal funds rate 1 1 1 4 percent stance monetary policy remains accommodative thereby supporting strengthening labor market conditions sustained return 2 percent inflation determining timing size future adjustments target range federal funds rate committee assess realized expected economic conditions relative objectives maximum employment 2 percent inflation assessment take account wide range information including measures labor market conditions indicators inflation pressures inflation expectations readings financial international developments committee carefully monitor actual expected inflation developments relative symmetric inflation goal committee expects economic conditions evolve manner warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run however actual path federal funds rate depend economic outlook informed incoming data time committee maintaining existing policy reinvesting principal payments holdings agency debt agency mortgage backed securities agency mortgage backed securities rolling maturing treasury securities auction committee expects begin implementing balance sheet normalization program relatively soon provided economy evolves broadly anticipated program described june 2017 addendum committee policy normalization principles plans voting action janet l yellen william c dudley lael brainard charles l evans stanley fischer patrick harker robert kaplan neel kashkari jerome h powell voting action none consistent committee decision leave target range federal funds rate unchanged board governors voted unanimously leave interest rates required excess reserve balances unchanged 1 1 4 percent voted unanimously approve establishment primary credit rate discount rate existing level 1 3 4 percent 4 agreed next meeting committee would held tuesday wednesday september 19 20 2017 meeting adjourned 10 00 july 26 2017 notation vote,minutes,0,2017-08-16,0,-67,negative,positive
3,2017-02-01,information received since FOMC met december indicates labor market continued strengthen economic activity continued expand moderate pace job gains remained solid unemployment rate stayed near recent low household spending continued rise moderately business fixed investment remained soft measures consumer business sentiment improved late inflation increased recent quarters still committee 2 percent longer run objective market based measures inflation compensation remain low survey based measures longer term inflation expectations little changed balance consistent statutory mandate committee seeks foster maximum employment price stability committee expects gradual adjustments stance monetary policy economic activity expand moderate pace labor market conditions strengthen somewhat inflation rise 2 percent medium term near term risks economic outlook appear roughly balanced committee continues closely monitor inflation indicators global economic financial developments view realized expected labor market conditions inflation committee decided maintain target range federal funds rate 1 2 3 4 percent stance monetary policy remains accommodative thereby supporting strengthening labor market conditions return 2 percent inflation determining timing size future adjustments target range federal funds rate committee assess realized expected economic conditions relative objectives maximum employment 2 percent inflation assessment take account wide range information including measures labor market conditions indicators inflation pressures inflation expectations readings financial international developments light current shortfall inflation 2 percent committee carefully monitor actual expected progress toward inflation goal committee expects economic conditions evolve manner warrant gradual increases federal funds rate federal funds rate likely remain time levels expected prevail longer run however actual path federal funds rate depend economic outlook informed incoming data committee maintaining existing policy reinvesting principal payments holdings agency debt agency mortgage backed securities agency mortgage backed securities rolling maturing treasury securities auction anticipates normalization level federal funds rate well way policy keeping committee holdings longer term securities sizable levels help maintain accommodative financial conditions,statement,0,2017-02-01,3,4,neutral,positive
